Country,Continent,ISO_Code,Level,GDLCODE,Region,"co2","pm2","Subnational HDI","Educational index"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.462,0.381,1888,6
"Albania","Europe","ALB","National","ALBt","Total",0.789,0.740,22380,29
"Algeria","Africa","DZA","National","DZAt","Total",0.745,0.663,47179,13
"Andorra","Europe","AND","National","ANDt","Total",0.884,0.742,33886,17
"Angola","Africa","AGO","National","AGOt","Total",0.591,0.533,13013,88
"Antigua and Barbuda","America","ATG","National","ATGt","Total",0.826,0.782,49898,23
"Argentina","America","ARG","National","ARGt","Total",0.849,0.871,7660,11
"Armenia","Europe","ARM","National","ARMt","Total",0.786,0.778,50866,18
"Australia","Asia/Pacific","AUS","National","AUSt","Total",0.946,0.924,14032,6
"Austria","Europe","AUT","National","AUTt","Total",0.926,0.865,152151,54
"Azerbaijan","Europe","AZE","National","AZEt","Total",0.760,0.705,53963,10
"Bahamas, The","America","BHS","National","BHSt","Total",0.820,0.755,9323,6
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",0.888,0.821,2471924,298
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",0.670,0.578,111860,255
"Barbados","America","BRB","National","BRBt","Total",0.809,0.789,69263,79
"Belarus","Europe","BLR","National","BLRt","Total",0.801,0.796,20978,10
"Belgium","Europe","BEL","National","BELt","Total",0.942,0.918,345759,102
"Belize","America","BLZ","National","BLZt","Total",0.700,0.640,1592,10
"Benin","Africa","BEN","National","BENt","Total",0.504,0.391,18158,128
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",0.681,0.557,5565,62
"Bolivia","America","BOL","National","BOLt","Total",0.698,0.745,3244,5
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",0.779,0.720,58248,73
"Botswana","Africa","BWA","National","BWAt","Total",0.708,0.665,4707,14
"Brazil","America","BRA","National","BRAt","Total",0.760,0.709,16042,62
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",0.823,0.688,121632,15
"Bulgaria","Europe","BGR","National","BGRt","Total",0.799,0.766,41171,35
"Burkina Faso","Africa","BFA","National","BFAt","Total",0.438,0.302,9414,94
"Burundi","Africa","BDI","National","BDIt","Total",0.420,0.387,4739,276
"Cabo Verde","Africa","CPV","National","CPVt","Total",0.661,0.523,48390,56
"Cambodia","Asia/Pacific","KHM","National","KHMt","Total",0.600,0.494,31620,245
"Cameroon","Africa","CMR","National","CMRt","Total",0.587,0.590,3401,42
"Canada","America","CAN","National","CANt","Total",0.935,0.906,9262,3
"Central African Republic","Africa","CAF","National","CAFt","Total",0.387,0.334,5025,148
"Chad","Africa","TCD","National","TCDt","Total",0.394,0.303,6595,172
"Chile","America","CHL","National","CHLt","Total",0.860,0.836,18824,25
"China","Asia/Pacific","CHN","National","CHNt","Total",0.788,0.693,436396,373
"Colombia","America","COL","National","COLt","Total",0.758,0.696,27661,46
"Comoros","Africa","COM","National","COMt","Total",0.586,0.569,9859,101
"Congo, Dem. Rep.","Africa","COD","National","CODt","Total",0.481,0.506,461.9,73
"Congo, Rep.","Africa","COG","National","COGt","Total",0.593,0.620,34902,871
"Costa Rica","America","CRI","National","CRIt","Total",0.806,0.740,24603,38
